,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_dueindate,month_of_dueindate,year_of_dueindate,day_of_baselinecreatedate,month_of_baselinecreatedate,year_of_baselinecreatedate,cust_payment_terms_enc,name_customer_enc,due_in_date,clear_date,Aging Bucket
0,140105686,2020,2960623488.0,3299.7,66,30,3,2020,10,4,2020,31,3,2020,5,2714,2020-04-10,2020-04-26,16-30
1,200744019,2020,1930659387.0,7821.114,66,19,3,2020,3,4,2020,19,3,2020,18,2798,2020-04-03,2020-04-12,0-15
2,200418007,2020,1930610806.0,2467.913,66,11,3,2020,26,3,2020,11,3,2020,18,89,2020-03-26,2020-03-22,
3,200739534,2020,1930788296.0,84773.95499999999,66,15,4,2020,30,4,2020,15,4,2020,18,2043,2020-04-30,2020-05-05,0-15
4,200353024,2020,1930817482.0,2608.2419999999997,66,23,4,2020,26,4,2020,16,4,2020,34,733,2020-04-26,2020-04-24,
5,200744019,2020,1930676042.0,4125.107,66,21,3,2020,5,4,2020,21,3,2020,18,2789,2020-04-05,2020-04-11,0-15
6,140106408,2020,2960618790.0,92832.27,66,6,3,2020,16,3,2020,6,3,2020,5,2987,2020-03-16,2020-03-27,0-15
7,200337148,2020,1930592246.0,7966.580999999999,66,2,3,2020,17,3,2020,2,3,2020,18,571,2020-03-17,2020-03-19,0-15
8,200794332,2020,1930731070.0,2704.7509999999997,66,7,4,2020,22,4,2020,7,4,2020,20,626,2020-04-22,2020-04-23,0-15
9,200794332,2020,1930803605.0,52117.106999999996,66,23,4,2020,8,5,2020,23,4,2020,20,632,2020-05-08,2020-05-10,0-15
10,200803720,2020,1930698352.0,97.02,66,25,3,2020,8,4,2020,16,3,2020,36,721,2020-04-08,2020-03-30,
11,200794332,2020,1930647189.0,22900.828999999998,66,13,3,2020,28,3,2020,13,3,2020,20,627,2020-03-28,2020-03-28,0-15
12,200020431,2020,1930861637.0,122.30399999999999,66,6,5,2020,24,5,2020,1,5,2020,36,728,2020-05-24,2020-05-15,
